objectnumber,totaluniquepageviews,culture,imagepermissionlevel,rank,dated,id,title,url
R9731,0,British,0,252849,19th century,244920,Girl by the River,https://www.harvardartmuseums.org/collections/object/244920
M13841,18,American,0,214438,1867,256451,Homeward - Bound,https://www.harvardartmuseums.org/collections/object/256451
Straus.4137,9,,0,265698,,343630,"X-radiograph(s) of ""Christ Blessing, Salvator Mundi""",https://www.harvardartmuseums.org/collections/object/343630
M21315.5,26,French,0,221870,1789,264964,The Brave Maillard Reaches for the 'Propositions des Assiégés' on a Plank Suspended over the Moat of the Bastille (14 July 1789),https://www.harvardartmuseums.org/collections/object/264964
4.2002.22769,1,American,0,41149,1963,119691,Untitled (four photographs: women modeling wedding dresses in bridal fashion show),https://www.harvardartmuseums.org/collections/object/119691
3.2002.2800,0,American,0,16169,c. 1903,152625,"Social Settlements: United States. District of Columbia. Washington. ""Social Settlement"": Agencies Promoting Assimilation of the Negro. The Social Settlement, Washington, D.C.",https://www.harvardartmuseums.org/collections/object/152625
2019.11,3,German,0,143303,1976-1977,363141,Sketchbook: Walker art center,https://www.harvardartmuseums.org/collections/object/363141
M24967.50,8,Italian,0,227814,1641,176152,"Carl Emmanuel, Duke of Sabaudia",https://www.harvardartmuseums.org/collections/object/176152
1946.22.1,7,American,0,71681,19th-20th century,308176,Sketch of a Woman in a Hat,https://www.harvardartmuseums.org/collections/object/308176
4.2002.7448,0,American,0,26525,1937,134856,"Untitled (parents and children gathered near porch, Princeton University reunion, Princeton, NJ)",https://www.harvardartmuseums.org/collections/object/134856
4.2002.10046,0,American,0,29123,1960,132362,Untitled (portrait of older woman lit against black background),https://www.harvardartmuseums.org/collections/object/132362
BRLF.1008.43,1,American,1,182971,1940s-1950s,9752,[Facade],https://www.harvardartmuseums.org/collections/object/9752
1943.677,90,British,0,69286,1870,297555,"Head of a Young Woman (Study for ""The Hesperides""?)",https://www.harvardartmuseums.org/collections/object/297555
2007.184.2.30.3,2,American,0,127579,1967-68,322270,"Untitled (aerial view of helicopters taking off from clearing, Vietnam)",https://www.harvardartmuseums.org/collections/object/322270
1996.78.3,1,German,1,118771,1984,218290,"[Untitled] from the portfolio ""Zeichen aus dem Braunraum""",https://www.harvardartmuseums.org/collections/object/218290
P1970.580,5,American,0,231179,July 1938-August 1938,284859,Untitled (central Ohio),https://www.harvardartmuseums.org/collections/object/284859
CW2001.241,0,American,0,188269,20th century,171936,"Object file, estate: Sigh, 1979, (W257), drawing",https://www.harvardartmuseums.org/collections/object/171936
Straus.5794,1,,0,267354,,345287,"X-radiograph(s) of ""Portrait of a Lady""",https://www.harvardartmuseums.org/collections/object/345287
P1977.11,1,American?,0,237771,c. 1900,283912,Dr. Francis Marion Woods,https://www.harvardartmuseums.org/collections/object/283912
2000.198.49,0,,0,121490,,101978,Islamic Coin,https://www.harvardartmuseums.org/collections/object/101978
G1768,24,German,0,193983,19th century,276634,The Adoration of the Wise Men from the Orient,https://www.harvardartmuseums.org/collections/object/276634
1.1965.891,7,Greek,0,1359,400 BCE-370 BCE,188301,"Decadrachm of Syracuse, from the Santa Maria di Licodia 1890 Hoard?",https://www.harvardartmuseums.org/collections/object/188301
1981.107,169,American,0,103404,c. 1900-1903,227484,Angel,https://www.harvardartmuseums.org/collections/object/227484
1958.67,119,Uzbek,0,82985,mid 16th century,167829,"Lovers with Wine (painting, verso); Love Poetry (calligraphy, recto), folio from an album, right-hand side of a bifolio",https://www.harvardartmuseums.org/collections/object/167829
M24031,11,Brazilian,1,226153,1998,194332,"Untitled, from ""Edge of Awareness"" porfolio",https://www.harvardartmuseums.org/collections/object/194332
2.2002.2670,8,,0,6148,1923,156580,"Morgenhorn, Weisse Frau, Bernese Oberland",https://www.harvardartmuseums.org/collections/object/156580
M23823,20,American,0,225939,1974,212264,Demijohn,https://www.harvardartmuseums.org/collections/object/212264
G8658,23,German,0,199063,16th century,276620,Madonna and Child under an Arch,https://www.harvardartmuseums.org/collections/object/276620
1983.56.256,12,Roman Provincial,0,104610,238-244,177057,Coin of Metropolis under Gordian III,https://www.harvardartmuseums.org/collections/object/177057
