period,accessionyear,dateend,title,url,division,century,objectnumber,totaluniquepageviews,datebegin,culture,imagepermissionlevel,rank,id,department
,,1930,"High-Rise Steel Frame Apartment Building, 1929-1930",https://www.harvardartmuseums.org/collections/object/52565,Modern and Contemporary Art,20th century,BRGA.44.80,0,1929,German,0,163613,52565,Busch-Reisinger Museum
"Edo period, 1615-1868",1933.0,1832,"Hanaōgi of the Ōgiya with kamuro Yoshino and Tatsuta, from the series Contest of Designs in the Pleasure Quarters (Seirō moyō awase)",https://www.harvardartmuseums.org/collections/object/200164,Asian and Mediterranean Art,18th-19th century,1933.4.466,16,1767,Japanese,0,57389,200164,Department of Asian Art
,2007.0,1968,Untitled (young girl standing on ledge in yard),https://www.harvardartmuseums.org/collections/object/327911,Modern and Contemporary Art,20th century,2007.184.2.627.4,2,1965,American,0,130990,327911,Department of Photographs
,2011.0,1956,"Untitled (Christmas card image, candles with children’s heads superimposed)",https://www.harvardartmuseums.org/collections/object/123902,Modern and Contemporary Art,20th century,4.2002.18611,29,1956,American,1,38344,123902,Department of Photographs
,,0,Plate 23,https://www.harvardartmuseums.org/collections/object/244236,European and American Art,19th century,R278NA,0,0,British,0,244059,244236,Department of Prints
,2011.0,1955,Untitled (man and two boys on armchair),https://www.harvardartmuseums.org/collections/object/125598,Modern and Contemporary Art,20th century,4.2002.16830,0,1945,American,0,36533,125598,Department of Photographs
,1967.0,1948,Art Theory Text with Sketch,https://www.harvardartmuseums.org/collections/object/6308,Modern and Contemporary Art,20th century,1967.79.486,5,1948,American,0,88260,6308,Department of Drawings
,1963.0,0,Sketch of a Landscape; verso: blank page,https://www.harvardartmuseums.org/collections/object/6289,European and American Art,19th-20th century,1963.160.8,24,0,French,0,86113,6289,Department of Drawings
,,0,Woman and Child Lying on the Ground,https://www.harvardartmuseums.org/collections/object/243172,European and American Art,18th century,R5380,1,0,German,0,248830,243172,Department of Prints
,1934.0,1799,Letter M,https://www.harvardartmuseums.org/collections/object/270051,European and American Art,18th century,M7264,1,1799,French,0,209090,270051,Department of Prints
